cname,ccode,
Albania,8,
Algeria,12,
Armenia,51,
Azerbaijan,31,
Belarus,112,
Colombia,170,
Ecuador,218,
El Salvador,222,
Ethiopia,231,
Georgia,268,
Ghana,288,
Guatemala,320,
Hungary,348,
India,356,
Indonesia,360,
Kazakhstan,398,
Kenya,404,
Kosovo,915,
Kyrgyzstan,417,
Malaysia,458,
Mali,466,
Moldova,498,
Morocco,504,
Nicaragua,558,
Nigeria,566,
Peru,604,
Rwanda,646,
Serbia,688,
South Africa,710,
Tanzania,834,
Tunisia,788,
Turkey,792,
Ukraine,804,
Zambia,894,
Zimbabwe,716,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
